"title","fund1","fund2","fund3","fund4","fund5","date"
"Sojupa의 업다운폴리오 - 1","미래에셋 미국블루칩인덱스증권투자신탁1호 (주식) S","한국투자 베트남증권자투자신탁1호 (주식혼합) S",NA,NA,NA,"2018.12.02"
"홍제동놀이터의 업다운폴리오 - 2","흥국 멀티플레이30공모주증권자투자신탁 [채권혼합] S-P","하이 글로벌 메자닌 증권 자투자신탁 H[채권혼합]S-P2",NA,NA,NA,"2018.12.01"
"아모르파티00의 업다운폴리오 - 1","KB 스타막강국공채증권자투자신탁 (채권)S-P","이스트스프링 미국뱅크론특별자산자투자신탁(H) [대출채권] S-P","동양 하이플러스채권증권자투자신탁1호 (채권) S-P",NA,NA,"2018.12.01"
"인총선생의 업다운폴리오 - 1","한국투자 연금베트남증권자투자신탁 (주식혼합) S-P","KB 브라질증권자투자신탁(주식)S-P",NA,NA,NA,"2018.12.01"
"하늘사랑별의 업다운폴리오 - 3","피델리티 글로벌배당인컴증권자투자신탁 (주식-재간접형) S","KTB 스마트시스템트레이딩증권투자신탁제1호 [채권혼합-파생형] S","한국투자 코스닥인버스증권투자신탁(주식-재간접파생형)(S)",NA,NA,"2018.11.30"
"해볼까???","블랙록 월드헬스사이언스증권투자신탁 (주식-재간접형) S-P","흥국 멀티플레이30공모주증권자투자신탁 [채권혼합] S-P","AB 셀렉트미국증권투자신탁 (주식-재간접형) S-P",NA,NA,"2018.11.30"
"미국펀드","삼성 미국코어주식증권자투자신탁H[주식]S-P","삼성 미국코어주식증권자투자신탁UH[주식]S-P","DB 글로벌핀테크증권자투자신탁(UH)[주식] 종류S-P",NA,NA,"2018.11.30"
"업다운폴리오","한국투자 골드플랜삼성그룹연금증권자투자신탁1호 (주식) S-P","삼성 미국코어주식증권자투자신탁UH[주식]S-P","피델리티 글로벌테크놀로지증권자투자신탁 (주식-재간접형) S-PRS",NA,NA,"2018.11.30"
"안정성펀드","한국투자 크레딧포커스증권자투자신탁1호 (채권) S","알파 시나브로공모주증권투자신탁1호 [주식혼합] S","동양 하이플러스채권증권자투자신탁1호 (채권) S",NA,NA,"2018.11.30"
"베트남펀드","동양 베트남증권자투자신탁H호 (주식혼합) S-P","하이 글로벌 메자닌 증권 자투자신탁 H[채권혼합]S-P2","AB 미국그로스증권투자신탁 (주식-재간접형) S-P",NA,NA,"2018.11.30"
"뭉치토끼의 업다운폴리오 - 3","미래에셋 브라질업종대표증권자투자신탁1호 (주식) S","AB 미국그로스증권투자신탁 (주식-재간접형) S",NA,NA,NA,"2018.11.28"
"뭉치토끼의 업다운폴리오 - 2","미래에셋 브라질업종대표증권자투자신탁1호 (주식) S","AB 미국그로스증권투자신탁 (주식-재간접형) S",NA,NA,NA,"2018.11.28"
"뭉치토끼의 업다운폴리오 - 1","KB 브라질증권자투자신탁(주식)S-P","AB 미국그로스증권투자신탁 (주식-재간접형) S-P",NA,NA,NA,"2018.11.28"
"떵아다니의 업다운폴리오 - 2","동양하이플러스단기우량채권증권자투자신탁1호(채권)ClassS","키움 장대트리플플러스증권투자신탁1호 [채권혼합]S","알파 시나브로공모주증권투자신탁1호 [주식혼합] S",NA,NA,"2018.11.27"
"은정의 카트폴리오 - 3","신한BNPP 장기국공채증권자투자신탁제1호 [채권] S-P","키움 파이어니어증권자투자신탁제1호 [채권] C-Pe","흥국 멀티플레이증권자투자신탁4호 [채권] S-P","삼성 달러표시단기채권증권자투자신탁UH [채권]C-Pe",NA,"2018.11.26"
"칼리보의 업다운폴리오 - 1","KTB 글로벌4차산업1등주증권투자신탁[주식] 종류 Ae","멀티에셋 삼바브라질증권자투자신탁 [채권] S","삼성 일본중소형FOCUS증권자투자신탁UH [주식] S",NA,NA,"2018.11.24"
"부모님여행보내드리기","미래에셋 베트남증권투자회사1호 (주식혼합) S","삼성 미국인덱스증권자투자신탁H [주식] S","KB 차이나H주식인덱스증권자투자신탁 (주식) S","미래에셋 브라질러시아업종대표증권자투자신탁1호 (주식) S","AB 글로벌고수익증권투자신탁 (채권-재간접형) S","2018.11.23"
"히두의 업다운폴리오 - 3","미래에셋 인덱스로러시아증권자투자신탁 (주식) C-e","IBK 베트남플러스아시아증권투자신탁 [주식] S","한국투자 코스닥인버스증권투자신탁(주식-재간접파생형)(S)",NA,NA,"2018.11.21"
"히두의 업다운폴리오 - 2","피델리티 아시아증권자투자신탁 (주식) S","멀티에셋 삼바브라질증권자투자신탁 [채권] S","한국투자 코스닥인버스증권투자신탁(주식-재간접파생형)(S)",NA,NA,"2018.11.21"
"히두의 업다운폴리오 - 1","미래에셋 인덱스로러시아증권자투자신탁 (주식) C-e","IBK 베트남플러스아시아증권투자신탁 [주식] S","KB 브라질증권자투자신탁(주식)S",NA,NA,"2018.11.21"
"귀접힌냥이의 피델리티카트폴리오","피델리티 글로벌테크놀로지증권자투자신탁 (주식-재간접형) S","피델리티 글로벌배당인컴증권자투자신탁 (주식-재간접형) S","피델리티 아시아증권자투자신탁 (주식) S","피델리티 글로벌멀티에셋인컴증권자투자신탁 (채권혼합-재간접형) S",NA,"2018.11.20"
"데굴데굴77의 로보어드바이저","NH-Amundi 디셈버글로벌 로보어드바이저증권자투자신탁(UH)[채권혼합-재간접형] S-P","삼성 글로벌다이나믹자산배분증권자투자신탁H [주혼-재간접형] S-P","한국투자 EMP글로벌자산배분증권자투자신탁(주식혼합-재간접형)S-P",NA,NA,"2018.11.20"
"뿡뿡이맘의 업다운폴리오 - 2","피델리티 차이나증권자투자신탁 (주식) S-PRS","키움 글로벌코어밸류증권자투자신탁제1호 [주식] S-P","KB 러시아대표성장주증권자투자신탁(주식)S-P",NA,NA,"2018.11.20"
