"KOFIA_FUND_CODE","KFR_GRADE","RLZ_RT12","FP_KRN_NAME","SALE_AMT_M1","FP_TP","SALE_AMT_M3","NAV_UPDOWN_PRICE","SALE_AMT_M6","LRG_TYPE_TP_NAME","SALE_FUND_YN","RLZ_RT60","FNGUIDE_GRADE","RLZ_RT6","RLZ_RT3","RLZ_RT1","INVST_RISK_GRADE_TP","STDDEVT_M6","DELEGATE_KOFIA_FUND_CODE","NAV","STDDEVT_M3","STDDEVT_M1","LRG_TYPE_CODE","ACCM_RT","FUND_BAL_QTY_M6","FP_CLASS_TP","FUND_BAL_QTY_M3","TOTAL_COUNT","FUND_BAL_QTY_M1","AMC_CODE","FIRST_SETUP_DATE","RECOMMEND_FUND_YN","SEQ","MNSTAR_GRADE","FP_CODE","NAV_STD_DATE","TYPE_NAME","FUND_BAL_QTY_M1_CHK","EVENT_FUND_YN","STD_DATE","SALE_COMMISSION_RATE","LRG_TYPE_NAME","INVTRST_DETAIL_NAME","INVTRST_DETAIL_CODE","NAV_UPDOWN_RATE","RLZ_RT36","STDDEVT_Y3","OP_SCALE_GRADE_NAME","STDDEVT_Y1","INDIRECT_INVST_CODE","TOTAL_FEE","OP_FIRST_SETUP_DATE","OP_NETVALUE","FUND_GRADE_STD_YYMM","AMC_ABRV_NAME","TYPE_CODE","ZEROIN_GRADE","OP_FUND_CODE","SALE_START_DATE","AFRCV_COMMISSION_RATE"
"K55105CA8664",0,NA,"삼성 한국형RIF60증권자투자신탁H[주식혼합-재간접형] S-P",0.78,"10",0.99,-0.31,3.86,"해외","Y",NA,0,NA,-6.75,-2.7,"4",NA,"K55105CA8664",925.65,7.91,10.16,"61",-7.44,NA,"12",0.01,1914,0,"105","20180702",NA,1363,0,"8146359","20181228","글로벌 공격적자산배분",0,"N","20181228",0,"주식혼합형","연금","77",-0.03,NA,NA,"초소형급",NA,"10",0.4,"20180702",4,NA,"삼성자산운용","61150",0,"K55105CA7476","20180702",0
"KR5391AS8430",0,-15.62,"키움 대한민국희망찾기증권자투자신탁1호 [주식] S",0.08,"10",0.19,12.24,0.27,"국내","Y",7.88,0,-10.58,-11.08,-2.7,"3",15.14,"KR5391981952",1019.59,18.29,9.33,"20",16.27,0,"11",0,1914,0,"206","20101220",NA,1162,2,"1118850","20181228","일반주식",14763,"N","20181228",0,"주식형",NA,"61",1.22,11.32,12.79,"초소형급",14.84,"01",0.9,"20101220",7,NA,"키움투자자산운용","2001",0,"KR5391981945","20140609",1.5
"KR5203AI3910",1,-15.84,"대신 KOSPI200인덱스증권자투자신탁 [주식-파생형] C-P1",1.18,"10",16.44,15.15,21.16,"국내","Y",NA,0,-11.65,-12.11,-2.7,"4",14.81,"KR5203AI3910",1075,17.44,9.86,"20",11.71,0.52,"07",0.16,1914,0.02,"203","20020107",NA,1668,1,"6103990","20181228","K200인덱스",1945311,"N","20181228",0,"주식형","연금","77",1.43,16.52,12.7,"초소형급",15.27,"01",0.695,"20020107",200,"201812","대신자산운용","20050",2,"KR5203764992","20140418",0
"KR5223AQ1753",4,-17.7,"KB 연금인덱스증권전환형자투자신탁 (주식) S-P",3.1,"10",17.44,15.5,20.27,"국내","Y",0.79,4,-12.58,-12.93,-2.7,"4",15.4,"KR5223AQ1746",1002.99,18.1,9.88,"20",9.92,1.2,"12",0.7,1914,0.01,"223","20120529",NA,509,3,"1104159","20181228","K200인덱스",585648,"N","20181228",0,"주식형","연금","77",1.57,10.57,13.02,"초소형급",15.63,"01",0.58,"20120529",108,"201812","KB자산운용","20050",3,"KR5223AA7626","20140418",0
"KR5364AP5325",4,-18.69,"에셋플러스 코리아리치투게더증권자투자신탁1호 (주식) S",-5.54,"10",-11.28,15.7,-64.53,"국내","Y",7.73,4,-16.65,-15.54,-2.7,"3",17.69,"KR5364AE9668",856.04,22.27,13.89,"20",111.74,-4.78,"11",-2.92,1914,-2.72,"364","20080707","Y",689,2,"1122750","20181228","일반주식",-271616803,"N","20181228",0,"주식형",NA,"61",1.87,-9.62,13.11,"대형급",16.4,"01",1.27,"20080707",1470,"201812","에셋플러스자산운용","2001",4,"KR5364848311","20140418",1.5
"KR5206AQ7256",2,-15.78,"키움 코리아에이스증권자투자신탁제1호 [주식] S",0.07,"10",-0.35,12.8,-93.39,"국내","Y",8.92,2,-10.66,-11.12,-2.71,"3",15.15,"KR5206960886",1067.66,18.29,9.33,"20",129.94,-0.25,"11",0.04,1914,0.01,"206","20041102",NA,306,2,"1142150","20181228","일반주식",640724,"N","20181228",0,"주식형",NA,"61",1.21,11.69,12.86,"중형급",14.89,"01",1.04,"20041102",625,"201812","키움투자자산운용","2001",3,"KR5221463353","20140418",1.5
"KR5206755559",5,-18.1,"키움 행복연금코리아인덱스증권전환형자투자신탁제1호 [주식]",0.67,"10",2.63,13.15,3.32,"국내","Y",-3.35,5,-12.8,-12.83,-2.71,"4",15.2,"KR5206755559",939.33,18,10.35,"20",1.12,0,"07",0,1914,0,"206","20071101",NA,1735,4,"1159890","20181228","K200인덱스",0,"N","20181228",0,"주식형","연금","77",1.42,5.28,12.43,"초소형급",15.45,"01",1.32,"20071101",127,"201812","키움투자자산운용","20050",3,"KR5206755559","20141020",0
"K55105B10375",2,-17.57,"삼성 밸류플러스증권자투자신탁제1호 [주식] S",-94.02,"10",-103.21,14.81,-206.37,"국내","Y",NA,3,-11.38,-12.47,-2.72,"3",17.88,"KR5105AT1043",891.88,22.17,9.87,"20",5.23,0.1,"11",0.03,1914,0.01,"105","20140701",NA,1043,3,"1164950","20181228","일반주식",946357,"N","20181228",0,"주식형",NA,"61",1.69,1.45,13.2,"소형급",17.11,"01",1.1,"20140701",205,"201812","삼성자산운용","2001",5,"KR5105AT0938","20150520",1.5
"K55210C71613",0,NA,"신한BNPP리디파인K200증권투자신탁[주식혼합-파생재간접형](종류S)",3.18,"10",7.54,11.62,46.55,"국내","Y",NA,0,-11.18,-11.43,-2.73,"2",13.09,"K55210C71506",867.34,15.34,9.32,"23",-14.51,0,"11",0,1914,0,"210","20180423",NA,1450,0,"8145750","20181228","시장중립",0,"N","20181228",0,"절대수익추구형",NA,"61",1.36,NA,NA,"소형급",NA,"02",0.64,"20180423",223,NA,"신한BNP파리바자산운용","23020",0,"K55210C71498","20180528",1.5
"K55210C71670",0,NA,"신한BNPP리디파인K200증권투자신탁[주식혼합-파생재간접형](종류S-P)",3.18,"10",7.54,11.4,46.55,"국내","Y",NA,0,-11.18,-11.43,-2.73,"3",13.09,"K55210C71506",850.38,15.34,9.32,"23",-14.51,0,"12",0,1914,0,"210","20180423",NA,1451,0,"8145759","20181228","시장중립",0,"N","20181228",0,"절대수익추구형","연금","77",1.36,NA,NA,"소형급",NA,"02",0.62,"20180423",223,NA,"신한BNP파리바자산운용","23020",0,"K55210C71498","20180528",0
"KRM307AP3131",3,-17.97,"유리 인덱스200증권투자회사 [주식-파생형] S",0.2,"10",0.89,11.87,0.42,"국내","Y",0.11,0,-12.51,-12.55,-2.73,"3",14.72,"KRM307618491",848.02,17.43,10.09,"20",50.88,0.01,"11",0.01,1914,0,"307","20010209",NA,388,3,"6102850","20181228","K200인덱스",67352,"N","20181228",0,"주식형",NA,"61",1.42,7.88,12.65,"초소형급",15.14,"01",0.855,"20010306",92,"201812","유리자산운용","20050",3,"KRM307317177","20140418",1.5
"KR5391982315",3,-16.85,"키움 선명e-알파인덱스증권투자신탁 [주식]",-25.97,"10",-22.76,14.59,-26.9,"국내","Y",9.68,2,-12.17,-12.59,-2.73,"3",15.08,"KR5391982315",1018.53,17.78,10.17,"20",17.91,0.86,"00",2.22,1914,0.72,"206","20101220",NA,1665,2,"1154901","20181228","K200인덱스",71934076,"N","20181228",0,"주식형",NA,"61",1.45,15.89,12.84,"초소형급",15.47,"01",0.07,"20101220",127,"201812","키움투자자산운용","20050",2,"KR5391982315","20140507",0
"KR5210AP6964",2,-17.71,"신한BNPP 스마트인덱스증권자투자신탁제1호 [주식-파생형] S",2.34,"10",12.87,15.5,15.58,"국내","Y",0.87,0,-12.46,-12.63,-2.73,"3",14.94,"KR5210AJ6509",1049.19,17.64,10.02,"20",-1.22,-0.01,"11",-0.01,1914,0,"210","20070613",NA,596,3,"6105150","20181228","K200인덱스",93054,"N","20181228",0,"주식형",NA,"61",1.5,9.73,12.79,"초소형급",15.29,"01",0.29,"20070613",191,"201812","신한BNP파리바자산운용","20050",3,"KR5210702217","20140418",1.5
"KR5229AQ6418",0,-5.49,"이스트스프링 미국하이일드증권자투자신탁(H) [채권-재간접형] S",-0.01,"10",-0.01,-0.29,-0.62,"해외","Y",6.39,0,-4.78,-5.77,-2.75,"4",4.89,"KR5229A44636",1023.41,6.26,7.55,"50",35.75,-0.05,"11",0.01,1914,0,"229","20110808",NA,1129,3,"8113750","20181228","글로벌하이일드채권",64854,"N","20181228",0,"채권형",NA,"61",-0.03,17.39,5.33,"초소형급",4.12,"10",0.655,"20110808",1,NA,"이스트스프링자산운용코리아","50100",0,"KR5229A44610","20140418",1.5
"K55229BW5526",0,-5.49,"이스트스프링 미국하이일드증권투자신탁(H) [채권-재간접형] S-P",-0.01,"10",-0.01,-0.27,-0.62,"해외","Y",6.39,0,-4.78,-5.77,-2.75,"5",4.89,"KR5229A44636",950.64,6.26,7.55,"50",35.75,0.03,"12",-0.02,1914,0.01,"229","20110808",NA,1130,3,"8113759","20181228","글로벌하이일드채권",1369064,"N","20181228",0,"채권형","연금","77",-0.03,17.39,5.33,"초소형급",4.12,"10",0.605,"20110808",1,NA,"이스트스프링자산운용코리아","50100",0,"KR5229A44610","20170918",0
"K55235BC2511",0,-3.85,"피델리티 월드Big4 40증권자투자신탁 (채권혼합-재간접형) S",-0.73,"10",6.38,-0.12,24.81,"해외","Y",NA,0,-4.46,-6.03,-2.75,"4",5.6,"K55235BC2560",1073.32,6.62,8.79,"62",7.78,-0.03,"11",0.01,1914,-0.01,"235","20160406",NA,212,0,"8130550","20181228","글로벌채권혼합",-1014766,"N","20181228",0,"채권혼합형",NA,"61",-0.01,NA,NA,"초소형급",5.11,"10",0.465,"20160406",31,"201812","피델리티자산운용","62010",2,"K55235BC0929","20160516",1.5
"K55235BC2503",0,-3.85,"피델리티 월드Big4 40증권자투자신탁 (채권혼합-재간접형) S-PRS",-0.73,"10",6.38,-0.13,24.81,"해외","Y",NA,0,-4.46,-6.03,-2.75,"5",5.6,"K55235BC2560",1080.26,6.62,8.79,"62",7.78,-0.11,"12",-0.1,1914,0,"235","20160406",NA,213,0,"8130559","20181228","글로벌채권혼합",169769,"N","20181228",0,"채권혼합형","연금","77",-0.01,NA,NA,"초소형급",5.11,"10",0.395,"20160406",31,"201812","피델리티자산운용","62010",2,"K55235BC0929","20160516",0
"KR5301AR0247",0,-17.46,"미래에셋 마켓플러스증권자투자신탁 3호(주식) S",0.01,"10",0.16,13.92,0.18,"국내","Y",-1.17,0,-12.42,-12.56,-2.75,"3",14.95,"KR5225760887",983.15,17.73,9.96,"20",2.42,0,"11",0,1914,0,"301","20071115",NA,574,3,"8114350","20181228","일반주식",0,"N","20181228",0,"주식형",NA,"61",1.44,-1.18,12.78,"초소형급",15.27,"01",0.55,"20071115",3,"201812","미래에셋자산운용","2001",3,"KR5225760879","20140418",1.5
"KR5107AP5178",4,-27.7,"동양 차이나본토주식증권자투자신탁H호 (주식) S",-1.38,"10",-2.55,-5.96,10.47,"해외","Y",18.56,4,-19.5,-13.08,-2.75,"2",21.07,"KR5107848883",906.85,20.49,15.66,"60",2.16,-0.07,"11",0.01,1914,0,"107","20100915",NA,860,3,"1110450","20181228","중국주식",102742,"N","20181228",0,"주식형",NA,"61",-0.65,-16.21,16.32,"소형급",20.15,"01",1.425,"20100915",181,"201812","동양자산운용","60130",4,"KR5107249520","20140418",1.5
"K55223C49059",0,NA,"KB 주주가치포커스증권투자신탁(주식)S",3.27,"10",15.96,17.9,89.61,"국내","Y",NA,0,-10.34,-9.81,-2.76,"2",15.73,"K55223C48911",907.22,18.89,9.17,"20",-10.5,-0.09,"11",-0.41,1914,-0.34,"223","20180312",NA,1405,0,"1183450","20181228","일반주식",-34296309,"N","20181228",0,"주식형",NA,"61",2.01,NA,NA,"초소형급",NA,"01",1.06,"20180312",122,NA,"KB자산운용","2001",0,"K55223C48879","20180326",1.5
"K55223C49067",0,NA,"KB 주주가치포커스증권투자신탁(주식)S-P",3.27,"10",15.96,17.86,89.61,"국내","Y",NA,0,-10.34,-9.81,-2.76,"3",15.73,"K55223C48911",905.33,18.89,9.17,"20",-10.5,0,"12",0,1914,0,"223","20180312",NA,1406,0,"1183459","20181228","일반주식",0,"N","20181228",0,"주식형","연금","77",2.01,NA,NA,"초소형급",NA,"01",1,"20180312",122,NA,"KB자산운용","2001",0,"K55223C48879","20180326",0
"KR5104AU1181",4,-17.94,"하이 투게더인덱스증권자투자신탁1호 [주식-파생형] S",-0.25,"10",1.19,18.39,0.81,"국내","Y",2.72,4,-12.9,-13.31,-2.76,"3",15.81,"KR5104AD9581",1075.45,18.87,10.21,"20",343.56,0,"11",0,1914,0,"104","20010625",NA,281,3,"6108950","20181228","K200인덱스",0,"N","20181228",0,"주식형",NA,"61",1.74,9.54,13.1,"초소형급",15.91,"01",0.32,"20010625",48,"201812","하이자산운용","20050",3,"KR5104323112","20140730",1.5
"K55105BF8470",0,-8.38,"삼성 아세안플러스베트남증권자투자신탁UH[주식]S",0.55,"10",26.99,0.75,27.74,"해외","Y",NA,0,-7.9,-9.01,-2.77,"2",12.74,"K55105BD6443",1107.68,12.89,15.87,"60",9.79,-1.12,"11",-0.32,1914,-0.04,"105","20160608",NA,512,0,"1175450","20181228","동남아주식",-4080133,"N","20181228",0,"주식형",NA,"61",0.07,NA,NA,"소형급",13.6,"01",1.27,"20160608",282,"201812","삼성자산운용","60070",3,"K55105BD0610","20160801",1.5
"K55105BF8488",0,-8.38,"삼성 아세안플러스베트남증권자투자신탁UH[주식]S-P",0.55,"10",26.99,0.76,27.74,"해외","Y",NA,0,-7.9,-9.01,-2.77,"3",12.74,"K55105BD6443",1109.57,12.89,15.87,"60",9.79,2.54,"12",1.3,1914,0.39,"105","20160608",NA,513,0,"1175459","20181228","동남아주식",38744623,"N","20181228",0,"주식형","연금","77",0.07,NA,NA,"소형급",13.6,"01",1.2,"20160608",282,"201812","삼성자산운용","60070",3,"K55105BD0610","20160801",0
"KR5206AQ7348",3,-19.07,"키움 고배당에이스증권자투자신탁제1호 [주식] S",-0.4,"10",-17.26,11.08,-17.91,"국내","Y",-0.53,0,-12.34,-12.73,-2.77,"3",13.61,"KR5206518528",1002.76,15.91,5.61,"20",111.13,0,"11",0,1914,0,"206","20050307",NA,315,4,"1142550","20181228","배당주식",49643,"N","20181228",0,"주식형",NA,"61",1.12,2.37,11.79,"초소형급",13.69,"01",1.15,"20050307",84,"201812","키움투자자산운용","20030",3,"KR5206479366","20140418",1.5
"KR5301AW7286",4,-23.34,"미래에셋 KorChindia포커스7증권투자신탁1호 (주식) S",-0.63,"10",-6.48,10.29,-31.75,"해외","Y",14.02,3,-19.91,-12.93,-2.77,"2",19.06,"KR5301987016",939.21,23.36,14.91,"60",59.65,-0.19,"11",-0.17,1914,0,"301","20070126",NA,731,3,"1161450","20181228","아시아신흥국주식",246364,"N","20181228",0,"주식형",NA,"61",1.11,2.09,15.28,"중형급",17.73,"01",1.4,"20070126",456,"201812","미래에셋자산운용","60090",4,"KR5301645317","20141124",1.5
