"KOFIA_FUND_CODE","KFR_GRADE","RLZ_RT12","FP_KRN_NAME","SALE_AMT_M1","FP_TP","SALE_AMT_M3","NAV_UPDOWN_PRICE","SALE_AMT_M6","LRG_TYPE_TP_NAME","SALE_FUND_YN","RLZ_RT60","FNGUIDE_GRADE","RLZ_RT6","RLZ_RT3","RLZ_RT1","INVST_RISK_GRADE_TP","STDDEVT_M6","DELEGATE_KOFIA_FUND_CODE","NAV","STDDEVT_M3","STDDEVT_M1","LRG_TYPE_CODE","ACCM_RT","FUND_BAL_QTY_M6","FP_CLASS_TP","FUND_BAL_QTY_M3","TOTAL_COUNT","FUND_BAL_QTY_M1","AMC_CODE","FIRST_SETUP_DATE","RECOMMEND_FUND_YN","SEQ","MNSTAR_GRADE","FP_CODE","NAV_STD_DATE","TYPE_NAME","FUND_BAL_QTY_M1_CHK","EVENT_FUND_YN","STD_DATE","SALE_COMMISSION_RATE","LRG_TYPE_NAME","INVTRST_DETAIL_NAME","INVTRST_DETAIL_CODE","NAV_UPDOWN_RATE","RLZ_RT36","STDDEVT_Y3","OP_SCALE_GRADE_NAME","STDDEVT_Y1","INDIRECT_INVST_CODE","TOTAL_FEE","OP_FIRST_SETUP_DATE","OP_NETVALUE","FUND_GRADE_STD_YYMM","AMC_ABRV_NAME","TYPE_CODE","ZEROIN_GRADE","OP_FUND_CODE","SALE_START_DATE","AFRCV_COMMISSION_RATE"
"KR5234AU6118",2,-2.08,"IBK 골드마이닝 증권 자투자신탁 1호[주식] S",-0.9,"10",1.81,0.75,-0.03,"해외","Y",8.28,3,0.56,16.82,10.33,"1",22.72,"KR5234676173",963.48,19.72,18.32,"60",-35.57,0.1,"11",0.41,1914,0.3,"234","20070413",NA,950,0,"1158350","20181228","기초소재섹터",29571078,"N","20181228",0,"주식형",NA,"61",0.08,36.09,28.78,"초소형급",18.48,"01",1.44,"20070413",90,"201812","IBK자산운용","60180",4,"KR5234676157","20140811",1.5
"K55234BL3394",2,-2.08,"IBK 골드마이닝 증권 자투자신탁 1호[주식]S-P",-0.9,"10",1.81,0.78,-0.03,"해외","Y",8.28,3,0.56,16.82,10.33,"2",22.72,"KR5234676173",1001.97,19.72,18.32,"60",-35.57,0.35,"12",0.36,1914,-0.02,"234","20070413",NA,951,0,"1158359","20181228","기초소재섹터",-2259038,"N","20181228",0,"주식형","연금","77",0.08,36.09,28.78,"초소형급",18.48,"01",1.36,"20070413",90,"201812","IBK자산운용","60180",4,"KR5234676157","20170123",0
"KR5210AQ7672",3,-7.99,"신한BNPP 골드증권투자신탁제1호 [주식] S",0.92,"10",2.95,-6.67,11.4,"해외","Y",-6.06,3,-4.06,10.07,6.26,"1",20.3,"KR5219756172",878.65,17.9,16.33,"60",-30.82,0.23,"11",0.08,1914,0.06,"210","20071102",NA,941,0,"1127350","20181228","기초소재섹터",6173180,"N","20181228",0,"주식형",NA,"61",-0.75,30.54,24.94,"소형급",17.31,"01",1.04,"20071102",228,"201812","신한BNP파리바자산운용","60180",4,"KR5219756164","20140418",1.5
"K55232BI6634",0,39.71,"NH-Amundi 코리아2배인버스레버리지증권투자신탁[주식-파생재간접형]ClassS",-5.81,"10",-169.97,-23.04,-151.25,"국내","Y",NA,0,26.72,28.74,5.56,"1",29.41,"K55232BI6592",837.47,35.09,21.16,"29",-19.73,15.32,"11",9.31,1914,11.67,"232","20161031",NA,1507,0,"8133650","20181228","베어마켓",1166855391,"N","20181228",0,"기타",NA,"61",-2.68,NA,NA,NA,30.48,"07",0.835,"20161103",141,NA,"NH-Amundi자산운용","29090",0,"K55232BI6568","20161205",0
"K55223BI3582",0,38.38,"KB 코리아 인버스 2배 레버리지 증권 투자신탁(주식-파생재간접형)S클래스",-13.06,"10",-83.05,-22.9,-100.81,"국내","Y",NA,0,26.16,28.31,5.51,"1",29.23,"K55223BI3558",808.39,34.81,21.12,"29",-17.63,-0.72,"11",-7.72,1914,0.74,"223","20161021",NA,1487,0,"8133750","20181228","베어마켓",73544644,"N","20181228",0,"기타",NA,"61",-2.75,NA,NA,NA,30.17,"07",0.845,"20161021",127,NA,"KB자산운용","29090",0,"K55223BI3525","20161205",0
"KR5366AO8484",3,-18.62,"블랙록 월드골드증권자투자신탁 (주식-재간접형)(H) S",13.29,"10",33.88,-0.43,44.5,"해외","Y",-5.52,0,-7.82,4.55,3.69,"1",21.28,"KR5366865842",830.8,18.44,17.51,"60",-35.43,0.6,"11",2.18,1914,0.22,"366","20080918",NA,948,0,"8103350","20181228","기초소재섹터",22327690,"N","20181228",0,"주식형",NA,"61",-0.05,18.05,30.65,"중형급",19.68,"10",0.815,"20080918",658,"201812","블랙록자산운용","60180",4,"KR5366876831","20140418",1.5
"K55366B44703",3,-18.62,"블랙록 월드골드증권자투자신탁 (주식-재간접형)(H) S-P",13.29,"10",33.88,-0.63,44.5,"해외","Y",-5.52,0,-7.82,4.55,3.69,"2",21.28,"KR5366865842",1201.92,18.44,17.51,"60",-35.43,1.1,"12",0.58,1914,0.13,"366","20080918",NA,949,0,"8103359","20181228","기초소재섹터",12926725,"N","20181228",0,"주식형","연금","77",-0.05,18.05,30.65,"중형급",19.68,"10",0.745,"20080918",658,"201812","블랙록자산운용","60180",4,"KR5366876831","20150727",0
"K55206BU2555",0,NA,"키움 현대차그룹과함께증권자투자신탁제1호 [주식]C-Pe",-0.62,"10",-1.14,14.08,-2.92,"국내","Y",NA,0,-8.24,-11.49,3.69,"3",19.6,"K55206BU2555",847.28,25.84,14.31,"20",-15.27,0.13,"07",0.14,1914,0,"206","20110523",NA,1888,0,"1142696","20181228","테마주식",27616,"N","20181228",0,"주식형","연금","77",1.69,NA,NA,"초소형급",NA,"01",1.2,"20110523",42,NA,"키움투자자산운용","20040",0,"KR5206A31649","20171120",0
"KR5206AQ7363",0,-12.89,"키움 현대차그룹과함께증권자투자신탁제1호 [주식] S",-0.62,"10",-1.14,10.77,-2.92,"국내","Y",-39.89,5,-8.5,-11.62,3.65,"2",19.62,"KR5206A31656",636.5,25.86,14.31,"20",-49.89,-0.26,"11",0.13,1914,-0.2,"206","20110523",NA,1550,5,"1142650","20181228","테마주식",-19646155,"N","20181228",0,"주식형",NA,"61",1.72,-23.39,15.38,"초소형급",19.27,"01",1.1,"20110523",42,NA,"키움투자자산운용","20040",0,"KR5206A31649","20140418",1.5
"KR5223AP4402",0,-5.06,"KB 스타골드특별자산투자신탁 (금-파생형) S",-0.46,"10",7.98,0.59,3.12,"해외","Y",-7.18,0,-0.87,5.39,3.48,"3",8.86,"KR5223815634",916.08,8.37,6.16,"65",15.8,-3.97,"11",-0.43,1914,0.08,"223","20080527",NA,789,0,"6100650","20181228","커머더티",8005536,"N","20181228",0,"커머더티형",NA,"61",0.06,7.92,13.33,"대형급",9.63,"11",0.892,"20080527",259,"201812","KB자산운용","65010",4,"KR5223837968","20140418",1.5
"K55223BJ2922",0,-5.06,"KB 스타골드특별자산투자신탁 (금-파생형) S-P",-0.46,"10",7.98,0.63,3.12,"해외","Y",-7.18,0,-0.87,5.39,3.48,"4",8.86,"KR5223815634",987.56,8.37,6.16,"65",15.8,-0.52,"12",0.57,1914,0.23,"223","20080527",NA,790,0,"6100659","20181228","커머더티",23466273,"N","20181228",0,"커머더티형","연금","77",0.06,7.92,13.33,"대형급",9.63,"11",0.882,"20080527",259,"201812","KB자산운용","65010",4,"KR5223837968","20161114",0
"KR5225829328",0,-3.4,"미래에셋 인덱스로골드특별자산자투자신탁 (금-재간접형) C-e",0.03,"10",8.59,-0.32,12.26,"해외","Y",-0.42,3,-0.58,5.4,3.4,"3",8.47,"KR5225829328",719.93,7.57,4.71,"65",20.37,1.34,"10",-0.68,1914,-0.76,"301","20080519",NA,1663,0,"8114560","20181228","커머더티",-75953797,"N","20181228",0,"커머더티형",NA,"61",-0.04,11.71,12.44,"소형급",8.74,"11",0.38,"20080519",83,"201812","미래에셋자산운용","65010",2,"KR5225834344","20140418",0
"KR5232AU9510",0,20.53,"NH-Amundi 리버스 인덱스 증권투자신탁[주식-파생형] S",-52.72,"10",-293.03,-14.67,-435.7,"국내","Y",NA,4,13.57,14.02,2.97,"1",14.93,"KR5232AU9460",926.74,17.67,10.66,"29",-12.41,-0.62,"11",-0.33,1914,0.24,"232","20141013",NA,1422,0,"1174950","20181228","베어마켓",23987926,"N","20181228",0,"기타",NA,"61",-1.56,-10.36,12.81,NA,15.36,"07",0.533,"20141013",500,NA,"NH-Amundi자산운용","29090",0,"KR5232AU9452","20160725",0
"KR5101AR6188",0,20.15,"한국투자 엄브렐러리버스인덱스증권전환형투자신탁1호 (주식-파생형) S",-31.35,"10",-144.93,-13.31,-210.64,"국내","Y",NA,0,13.37,13.99,2.9,"1",14.84,"KR5101AR6188",896.24,17.57,10.43,"29",-9.76,-3.32,"16",-2.57,1914,-0.18,"101","20030715",NA,1869,0,"1160050","20181228","베어마켓",-17588750,"N","20181228",0,"기타",NA,"61",-1.46,-11.05,12.79,NA,15.34,"07",0.4591,"20030715",38,NA,"한국투자신탁운용","29090",0,"KR5101786519","20141110",0
"KR5229AQ6251",0,-4.28,"이스트스프링 골드리치특별자산투자신탁 [금-파생형] S",0.61,"10",2.96,0.67,10.65,"해외","Y",-5.9,0,-1.61,4.45,2.65,"3",7.98,"KR5229857945",878.45,7.34,5.9,"65",5.33,0.29,"11",0.05,1914,0.01,"229","20080714",NA,546,0,"6105550","20181228","커머더티",1455738,"N","20181228",0,"커머더티형",NA,"61",0.08,6.59,12.18,"초소형급",8.22,"11",0.7,"20080714",76,"201812","이스트스프링자산운용코리아","65010",3,"KR5229852383","20140418",1.5
"K55229BX9352",0,-4.28,"이스트스프링 골드리치특별자산투자신탁 [금-파생형]S-P",0.61,"10",2.96,0.74,10.65,"해외","Y",-5.9,0,-1.61,4.45,2.65,"4",7.98,"KR5229857945",962.07,7.34,5.9,"65",5.33,0.31,"12",0.24,1914,0.01,"229","20080714",NA,547,0,"6105559","20181228","커머더티",1147556,"N","20181228",0,"커머더티형","연금","77",0.08,6.59,12.18,"초소형급",8.22,"11",0.66,"20080714",76,"201812","이스트스프링자산운용코리아","65010",3,"KR5229852383","20171106",0
"KR5223AP4436",0,18.13,"KB 스타코리아리버스인덱스증권투자신탁 (주식파생형) S",-47.64,"10",-323.93,-13.21,-533.64,"국내","Y",-2.96,4,11.91,12.45,2.64,"3",13.28,"KR5223146774",901.39,15.63,9.29,"29",-7.04,-0.02,"11",-0.24,1914,0,"223","20090707",NA,1360,0,"6101350","20181228","베어마켓",313141,"N","20181228",0,"기타",NA,"61",-1.44,-10.6,11.59,NA,13.93,"07",0.575,"20090707",479,NA,"KB자산운용","29090",0,"KR5223144340","20140418",0
"K55105BR3337",0,17.7,"삼성 KOSPI200인버스인덱스증권투자신탁1호[채권-파생형]S",13.31,"10",-121.03,-15.97,-163.92,"국내","Y",-5.86,4,11.89,12.48,2.6,"3",13.46,"KR5105938041",1142.38,15.97,9.21,"29",-70.08,-0.28,"11",0.16,1914,0.12,"105","20040721",NA,1554,0,"6112150","20181228","베어마켓",12170462,"N","20181228",0,"기타",NA,"61",-1.38,-12.01,11.55,NA,13.91,"07",0.83,"20040721",178,NA,"삼성자산운용","29090",0,"KR5105452423","20170626",0
"KR5236AP7509",5,-13.06,"한국밸류 10년투자증권투자신탁1호 (주식) S",-47.29,"10",-152.29,15.39,-305.21,"국내","Y",-12.14,4,-8.07,-7.92,2.31,"4",14.04,"KR5236A51966",823.14,17.07,8.8,"20",121.14,-0.13,"11",0.03,1914,0.23,"236","20060418","Y",310,3,"1131450","20181228","일반주식",23124779,"N","20181228",0,"주식형",NA,"61",1.91,-12.84,10.23,"초대형급",12.87,"01",1.154,"20060418",4947,"201812","한국투자밸류자산운용","2001",3,"KR5236562876","20140418",1.5
"K55210CE5072",0,NA,"신한BNPP H2O글로벌본드증권투자신탁(UH)[채권혼합-파생재간접형]S",5.94,"10",20.83,-4.67,20.83,"해외","Y",NA,0,NA,NA,2.31,"3",NA,"K55210CE5072",1015.8,NA,4.81,"50",1.58,NA,"11",NA,1914,0.11,"210","20181025",NA,1233,0,"8148750","20181228","글로벌채권",10873752,"N","20181228",0,"채권형",NA,"61",-0.46,NA,NA,"초소형급",NA,"07",0.575,"20181025",21,NA,"신한BNP파리바자산운용","50010",0,"K55210CE4950","20181112",1.5
"K55210CE5080",0,NA,"신한BNPP H2O글로벌본드증권투자신탁(UH)[채권혼합-파생재간접형]S-P",5.94,"10",20.83,-4.67,20.83,"해외","Y",NA,0,NA,NA,2.31,"4",NA,"K55210CE5072",1016.14,NA,4.81,"50",1.58,NA,"12",NA,1914,0.01,"210","20181025",NA,1234,0,"8148759","20181228","글로벌채권",535048,"N","20181228",0,"채권형","연금","77",-0.46,NA,NA,"초소형급",NA,"07",0.555,"20181025",21,NA,"신한BNP파리바자산운용","50010",0,"K55210CE4950","20181112",0
"KR5224AI5449",0,-9.52,"흥국 로우볼전략증권자투자신탁1호 [주식] A-e",1.27,"10",4.18,9.17,5.77,"국내","Y",13.74,0,-5.07,-4.09,2.15,"3",11.94,"KR5224AI5449",856.61,15.8,7.01,"20",14,0,"09",0,1914,0,"224","20130604",NA,1716,2,"1116666","20181228","기타인덱스",116740,"N","20181228",0,"주식형",NA,"61",1.08,4.69,10.95,"초소형급",12.61,"01",0.42,"20130604",198,"201812","흥국자산운용","20060",3,"KR5224AI5423","20140418",0
"KR5224AP2454",0,NA,"흥국 로우볼전략증권자투자신탁1호 [주식] S-P",1.27,"10",4.18,9.17,5.77,"국내","Y",NA,0,NA,-4.11,2.14,"4",NA,"KR5224AI5431",856.43,15.8,7.01,"20",-2.99,-0.09,"12",-0.1,1914,0.01,"224","20130604",NA,1300,0,"1116659","20181228","기타인덱스",1025393,"N","20181228",0,"주식형","연금","77",1.08,NA,NA,"초소형급",NA,"01",0.43,"20130604",198,NA,"흥국자산운용","20060",0,"KR5224AI5423","20140418",0
"KR5232AY9342",3,-10.8,"NH-Amundi Allset 인도 증권투자신탁[주식-재간접형]S",1.39,"10",3.54,-0.55,0.75,"해외","Y",NA,2,-4.44,1.93,2.08,"2",19.01,"KR5232AY9284",1085.05,23.65,22.49,"60",12.33,0.18,"11",0.1,1914,0.04,"232","20150211",NA,495,3,"8135650","20181228","인도주식",3698529,"N","20181228",0,"주식형",NA,"61",-0.05,21.37,16.28,"소형급",15.78,"10",0.63,"20150211",171,"201812","NH-Amundi자산운용","60140",3,"KR5232AY9276","20170313",1.5
"K55232BU4856",3,-10.8,"NH-Amundi Allset 인도 증권투자신탁[주식-재간접형]S-P",1.39,"10",3.54,-0.5,0.75,"해외","Y",NA,2,-4.44,1.93,2.08,"3",19.01,"KR5232AY9284",976.26,23.65,22.49,"60",12.33,0.25,"12",0.26,1914,0.15,"232","20150211",NA,496,3,"8135659","20181228","인도주식",15369114,"N","20181228",0,"주식형","연금","77",-0.05,21.37,16.28,"소형급",15.78,"10",0.58,"20150211",171,"201812","NH-Amundi자산운용","60140",3,"KR5232AY9276","20170807",0
"K55223BJ0652",5,-7.94,"KB 인디아 증권 자투자신탁(주식)S",-3.83,"10",-17.9,-8.45,-33.44,"해외","Y",43.93,3,-6.88,-0.51,2.07,"3",17.86,"KR5223741129",1257.84,21.9,17.9,"60",-16.5,0.32,"11",0.24,1914,0.2,"223","20070928",NA,642,4,"1176850","20181228","인도주식",19742513,"N","20181228",0,"주식형",NA,"61",-0.67,16.52,15.63,"중형급",15.25,"01",1.275,"20070928",476,"201812","KB자산운용","60140",3,"KR5223741111","20161128",1.5
"K55223BJ0660",5,-7.94,"KB 인디아 증권 자투자신탁(주식)S-P",-3.83,"10",-17.9,-6.63,-33.44,"해외","Y",43.93,3,-6.88,-0.51,2.07,"4",17.86,"KR5223741129",986.57,21.9,17.9,"60",-16.5,-0.04,"12",-0.17,1914,-0.01,"223","20070928",NA,643,4,"1176859","20181228","인도주식",-581552,"N","20181228",0,"주식형","연금","77",-0.67,16.52,15.63,"중형급",15.25,"01",1.205,"20070928",476,"201812","KB자산운용","60140",3,"KR5223741111","20161128",0
"K55101C16486",0,NA,"한국투자 코스닥인버스증권투자신탁(주식-재간접파생형)(S)",-0.49,"10",-19.96,5.09,2.52,"국내","Y",NA,0,13.4,19.02,2.01,"1",24.86,"K55101C16486",1330.46,27.7,19.22,"20",33.05,-1.78,"11",-5.54,1914,-1.31,"101","20180126",NA,1133,0,"8141650","20181228","기타인덱스",-130517336,"N","20181228",0,"주식형",NA,"61",0.38,NA,NA,"초소형급",NA,"07",0.528,"20180126",14,NA,"한국투자신탁운용","20060",0,"K55101C16411","20180126",0
"KR5210AQ8142",5,-20.21,"신한BNPP 인디아증권자투자신탁H [주식] S",0.58,"10",-21.87,-1.38,-45.29,"해외","Y",57.05,3,-8.9,0.95,1.84,"3",17.81,"KR5210756494",1077.59,22.26,21.69,"60",1.68,-0.98,"11",-0.33,1914,0.07,"210","20071102",NA,862,3,"1128350","20181228","인도주식",6820288,"N","20181228",0,"주식형",NA,"61",-0.13,7.39,15.26,"소형급",14.99,"01",1.34,"20071102",219,"201812","신한BNP파리바자산운용","60140",4,"KR5210756486","20140418",1.5
"KR5373AO7636",0,-17.12,"현대 뉴현대그룹플러스증권투자신탁1호 [주식] S",-1.65,"10",0.12,16.25,-2.67,"국내","Y",-24.78,5,-7.72,-14.82,1.78,"2",23.24,"KR5373158702",741.13,27.98,8.28,"20",19.47,0.16,"11",0.14,1914,-0.01,"373","20090914",NA,1022,5,"1115850","20181228","테마주식",-1053534,"N","20181228",0,"주식형",NA,"61",2.24,-3.79,16.17,"소형급",20.28,"01",1.07,"20090914",308,"201812","현대자산운용","20040",5,"KR5373158694","20140418",1.5
"K55373CA9220",0,-17.12,"현대 뉴현대그룹플러스증권투자신탁1호 [주식]S-P",-1.65,"10",0.12,19.11,-2.67,"국내","Y",-24.78,5,-7.72,-14.82,1.78,"3",23.24,"KR5373158702",871.37,27.98,8.28,"20",19.47,0,"12",0,1914,0,"373","20090914",NA,1023,5,"1115859","20181228","테마주식",228954,"N","20181228",0,"주식형","연금","77",2.24,-3.79,16.17,"소형급",20.28,"01",0.96,"20090914",308,"201812","현대자산운용","20040",5,"KR5373158694","20180618",0
"K55301B58684",2,-11.94,"미래에셋 인도중소형포커스증권자투자신탁1호 (주식) S",49.85,"10",12.91,-13.73,-37.06,"해외","Y",NA,0,-0.69,5.27,1.71,"2",20.85,"K55301B58684",1446.69,24.92,24.79,"60",44.67,-3.03,"11",-1.17,1914,-0.24,"301","20150918",NA,126,1,"1168450","20181228","인도주식",-24183018,"N","20181228",0,"주식형",NA,"61",-0.94,43.17,17.01,"대형급",18.45,"01",1.33,"20150918",1505,"201812","미래에셋자산운용","60140",2,"K55301B58213","20150918",1.5
"K55301B58643",2,-11.95,"미래에셋 인도중소형포커스증권자투자신탁1호 (주식) C-Pe",49.85,"10",12.91,-13.74,-37.06,"해외","Y",NA,0,-0.7,5.26,1.7,"3",20.85,"K55301B58643",1446.62,24.92,24.79,"60",44.66,0.1,"07",0.08,1914,0.41,"301","20150918",NA,1657,1,"1168490","20181228","인도주식",41274899,"N","20181228",0,"주식형","연금","77",-0.94,43.12,17.01,"대형급",18.45,"01",1.34,"20150918",1505,"201812","미래에셋자산운용","60140",2,"K55301B58213","20150918",0
"K55105BG8792",0,-7.1,"삼성누버거버먼이머징국공채플러스증권자투자신탁H[채권-재간접형]S",-8.79,"10",-40.49,-0.34,-89.78,"해외","Y",NA,0,-1.46,-2.4,1.69,"3",5.04,"K55105BG8735",1011.92,5.16,3.92,"50",-0.54,-0.16,"11",0,1914,0,"105","20160926",NA,880,0,"8132450","20181228","신흥국채권",163197,"N","20181228",0,"채권형",NA,"61",-0.03,NA,NA,"대형급",4.51,"10",0.38,"20160926",557,"201812","삼성자산운용","50050",4,"K55105BG8602","20161004",1.5
"K55105BG8800",0,-7.1,"삼성누버거버먼이머징국공채플러스증권자투자신탁H[채권-재간접형]S-P",-8.79,"10",-40.49,-0.35,-89.78,"해외","Y",NA,0,-1.46,-2.4,1.69,"4",5.04,"K55105BG8735",1014.28,5.16,3.92,"50",-0.54,-0.03,"12",0,1914,0,"105","20160926",NA,881,0,"8132459","20181228","신흥국채권",299958,"N","20181228",0,"채권형","연금","77",-0.03,NA,NA,"대형급",4.51,"10",0.35,"20160926",557,"201812","삼성자산운용","50050",4,"K55105BG8602","20161004",0
"K55207CF8906",0,17.15,"교보악사 공모주하이일드플러스증권투자신탁[채권혼합]S",17.54,"10",52.25,10.74,53.43,"국내","Y",NA,0,5.47,2.11,1.67,"4",3.85,"KR5207AV7290",1021.81,2.87,4.1,"23",24.92,NA,"11",NA,1914,0.21,"207","20141010",NA,1141,1,"5127850","20181228","공모주하이일드",20647141,"N","20181228",0,"절대수익추구형",NA,"61",1.06,15.56,6.73,"초소형급",7.25,"03",0.735,"20141010",73,NA,"교보악사자산운용","23030",0,"KR5207AV7282","20181001",1.5
"K55207CF8914",0,17.15,"교보악사 공모주하이일드플러스증권투자신탁[채권혼합]S-P",17.54,"10",52.25,10.77,53.43,"국내","Y",NA,0,5.47,2.11,1.67,"5",3.85,"KR5207AV7290",1024.26,2.87,4.1,"23",24.92,NA,"12",NA,1914,0.15,"207","20141010",NA,1142,1,"5127859","20181228","공모주하이일드",14982995,"N","20181228",0,"절대수익추구형","연금","77",1.06,15.56,6.73,"초소형급",7.25,"03",0.715,"20141010",73,NA,"교보악사자산운용","23030",0,"KR5207AV7282","20181001",0
"KR5232AT9810",3,6.64,"NH-Amundi Allset국채10년인덱스증권자투자신탁 [채권] S",213.95,"10",397.75,0.04,440.55,"국내","Y",NA,0,5.85,3.65,1.64,"5",2.96,"KR5232AT9810",1006.61,2.98,3.09,"10",16.33,14.38,"11",14.4,1914,13.5,"232","20140901",NA,471,2,"4107550","20181228","중기채권",1349614179,"N","20181228",0,"채권형",NA,"61",0,6.92,3.26,"소형급",2.79,"04",0.17,"20140901",961,"201812","NH-Amundi자산운용","10040",3,"KR5232AT9745","20140922",1.5
"K55232BU5721",3,6.64,"NH-Amundi Allset국채10년인덱스증권자투자신탁 [채권]S-P",213.95,"10",397.75,0.05,440.55,"국내","Y",NA,0,5.85,3.65,1.64,"6",2.96,"KR5232AT9810",1056.78,2.98,3.09,"10",16.33,13.73,"12",12.28,1914,8.72,"232","20140901","Y",472,2,"4107559","20181228","중기채권",872168230,"N","20181228",0,"채권형","연금","77",0,6.92,3.26,"소형급",2.79,"04",0.16,"20140901",961,"201812","NH-Amundi자산운용","10040",3,"KR5232AT9745","20170807",0
"KR5234AU6126",3,-21.6,"IBK 인디아인프라증권투자신탁 [주식] S",2.07,"10",1.64,-1.56,3.3,"해외","Y",62.46,3,-7.87,0.8,1.61,"3",18.14,"KR5234722993",991.44,20.48,21.24,"60",-11.51,-0.12,"11",-0.06,1914,0.02,"234","20070806",NA,914,3,"1158450","20181228","인도주식",2185503,"N","20181228",0,"주식형",NA,"61",-0.16,9.12,15.13,"초소형급",15.84,"01",1.44,"20070806",123,"201812","IBK자산운용","60140",4,"KR5234722977","20140811",1.5
"K55234BL5852",3,-21.6,"IBK 인디아인프라증권투자신탁 [주식] S-P",2.07,"10",1.64,-1.31,3.3,"해외","Y",62.46,3,-7.87,0.8,1.61,"4",18.14,"KR5234722993",834.18,20.48,21.24,"60",-11.51,0.03,"12",0.02,1914,0,"234","20070806",NA,915,3,"1158459","20181228","인도주식",334750,"N","20181228",0,"주식형","연금","77",-0.16,9.12,15.13,"초소형급",15.84,"01",1.37,"20070806",123,"201812","IBK자산운용","60140",4,"KR5234722977","20170925",0
"KR5370AQ0038",0,-8.7,"AB 이머징마켓증권투자신탁 (채권-재간접형) S",0.92,"10",-7.55,-0.63,-7.29,"해외","Y",12.6,0,-1.08,-1.84,1.57,"4",4.99,"KR5370967956",1064.28,4.84,4.24,"50",33.4,-0.04,"11",0,1914,0,"370","20101103",NA,1008,3,"8108850","20181228","신흥국채권",187889,"N","20181228",0,"채권형",NA,"61",-0.06,10.27,5.91,"초소형급",5.02,"10",0.415,"20101103",58,"201812","AB자산운용","50050",5,"KR5370967931","20140418",1.5
"KR5223AP5466",0,-9.68,"KB 삼성&현대차그룹플러스증권자투자신탁 (주식) S",0.92,"10",-0.05,14.22,-1.27,"국내","Y",-20.52,0,-8.85,-13.42,1.57,"3",18.2,"KR5223AB5561",862.36,23.53,11.11,"20",-19.16,-0.04,"11",-0.05,1914,0,"223","20120716",NA,1504,4,"1103750","20181228","테마주식",-68037,"N","20181228",0,"주식형",NA,"61",1.68,6.7,14.97,"초소형급",17.08,"01",1.11,"20120716",45,NA,"KB자산운용","20040",0,"KR5223AB1040","20140418",1.5
"K55105BG4718",0,-3.51,"삼성 솔루션글로벌알파증권자투자신탁H[주식혼합-재간접형]S",-188.97,"10",-250.58,-0.68,-101.44,"해외","Y",NA,0,-1.85,-0.38,1.55,"4",3.35,"K55105BG4643",1018.05,3.24,1.94,"61",-0.11,-0.06,"11",-0.06,1914,0.01,"105","20160905",NA,593,0,"8132250","20181228","글로벌주식혼합",1051029,"N","20181228",0,"주식혼합형",NA,"61",-0.07,NA,NA,"중형급",3.09,"10",0.88,"20160905",576,"201812","삼성자산운용","61010",3,"K55105BG4619","20160926",1.5
"K55105BX3669",0,-3.51,"삼성 솔루션글로벌알파증권자투자신탁H[주식혼합-재간접형]S-P",-188.97,"10",-250.58,-0.64,-101.44,"해외","Y",NA,0,-1.85,-0.38,1.55,"4",3.35,"K55105BG4643",976.31,3.24,1.94,"61",-0.11,0.01,"12",0.02,1914,0.02,"105","20160905",NA,594,0,"8132259","20181228","글로벌주식혼합",2047273,"N","20181228",0,"주식혼합형","연금","77",-0.07,NA,NA,"중형급",3.09,"10",0.83,"20160905",576,"201812","삼성자산운용","61010",3,"K55105BG4619","20171023",0
"K55236BD4317",4,-10.89,"한국밸류 10년투자배당증권자투자신탁 (주식) C-Pe",1.89,"10",-18.46,15.66,-59.03,"국내","Y",NA,0,-8.27,-7.02,1.36,"3",10.6,"K55236BD4317",987.72,13.68,5.08,"20",-1.23,0.05,"07",0.04,1914,0.03,"236","20131224",NA,1689,0,"1131896","20181228","배당주식",3478466,"N","20181228",0,"주식형","연금","77",1.61,NA,NA,"대형급",10.92,"01",1.058,"20131224",1382,"201812","한국투자밸류자산운용","20030",2,"KR5236AN0860","20160523",0
"K55301AZ7497",0,-0.99,"미래에셋 인도채권증권자투자신탁1호 (채권) S",-51.36,"10",-174.27,-11.21,-212.17,"해외","Y",NA,3,1.38,6.66,1.34,"3",7.68,"K55301AZ7430",1026.33,7.66,9.77,"50",12.93,-0.42,"11",-0.34,1914,0.04,"301","20150427",NA,800,0,"4108650","20181228","아시아채권(ex J)",3762779,"N","20181228",0,"채권형",NA,"61",-1.08,5.63,6.57,"대형급",7.23,"04",0.81,"20150427",1780,"201812","미래에셋자산운용","50060",4,"K55301AZ7398","20150428",1.5
"KR5210AR3811",0,7.08,"신한BNPP 장기국공채증권자투자신탁제1호 [채권] S",5.15,"10",8.22,-0.28,11.53,"국내","Y",NA,0,5.59,3.32,1.34,"5",2.7,"KR5210AR3811",1110.43,2.61,2.82,"10",11.32,2.87,"11",2.77,1914,2.39,"210","20140425",NA,185,1,"4108750","20181228","중기채권",239077999,"N","20181228",0,"채권형",NA,"61",-0.03,8.34,2.5,"초소형급",2.37,"04",0.307,"20140425",17,"201812","신한BNP파리바자산운용","10040",2,"KR5210AR3720","20150506",1.5
